,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,5,asymmetric,0.1,0.5953664885569706
1,100% Corpus,5,asymmetric,1.0,0.5766978618728855
2,100% Corpus,7,asymmetric,0.1,0.6372540520487092
3,100% Corpus,7,asymmetric,1.0,0.6035596642127378
4,100% Corpus,9,asymmetric,0.1,0.5802102886801478
5,100% Corpus,9,asymmetric,1.0,0.6214415099672964
6,100% Corpus,11,asymmetric,0.1,0.6356821265481603
7,100% Corpus,11,asymmetric,1.0,0.5912162980925348
8,100% Corpus,13,asymmetric,0.1,0.6377159133427495
9,100% Corpus,13,asymmetric,1.0,0.6252217362308852
10,100% Corpus,15,asymmetric,0.1,0.5828496486970002
11,100% Corpus,15,asymmetric,1.0,0.6212764275931377
12,100% Corpus,17,asymmetric,0.1,0.6081270100169393
13,100% Corpus,17,asymmetric,1.0,0.621445244592258
14,100% Corpus,19,asymmetric,0.1,0.6030578032403469
15,100% Corpus,19,asymmetric,1.0,0.6197701470233998
16,100% Corpus,21,asymmetric,0.1,0.6019938100605935
17,100% Corpus,21,asymmetric,1.0,0.5812917035371191
18,100% Corpus,23,asymmetric,0.1,0.6316910411177625
19,100% Corpus,23,asymmetric,1.0,0.6430139041038297
20,100% Corpus,25,asymmetric,0.1,0.5683417678746759
21,100% Corpus,25,asymmetric,1.0,0.6285090768420688
22,100% Corpus,27,asymmetric,0.1,0.5640656879747136
23,100% Corpus,27,asymmetric,1.0,0.5916382525085507
24,100% Corpus,29,asymmetric,0.1,0.5705518130594844
25,100% Corpus,29,asymmetric,1.0,0.6131511387523382
